SCHOOL_YEAR,ST,SCH_NAME,ST_SCHID,NCESSCH,SY_STATUS,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,TITLEI_STATUS,TITLEI_STATUS_TEXT,TEACHERS,DATA_GROUP,FARMS_COUNT
2017-2018,AL,Albertville High School,AL-101-0020,010000500871,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,77.0,Free and Reduced-price Lunch Table,832.0
2017-2018,AL,Asbury High School,AL-048-0030,010000600872,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,28.64,Free and Reduced-price Lunch Table,450.0
2017-2018,AL,Douglas High School,AL-048-0100,010000600878,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,30.87,Free and Reduced-price Lunch Table,429.0
2017-2018,AL,Kate D Smith DAR High School,AL-048-0140,010000600883,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,24.04,Free and Reduced-price Lunch Table,211.0
2017-2018,AL,Brindlee Mountain High School,AL-048-0042,010000601585,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,31.26,Free and Reduced-price Lunch Table,415.0
2017-2018,AL,Hoover High School,AL-158-0400,010000700251,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,202.28,Free and Reduced-price Lunch Table,568.0
2017-2018,AL,Spain Park High School,AL-158-0010,010000701456,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,112.75,Free and Reduced-price Lunch Table,235.0
2017-2018,AL,Bob Jones High School,AL-169-0080,010000800831,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,94.5,Free and Reduced-price Lunch Table,330.0
2017-2018,AL,James Clemens High School,AL-169-0095,010000802198,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,100.83,Free and Reduced-price Lunch Table,304.0
2017-2018,AL,Leeds High School,AL-167-0030,010001102096,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,19.0,Free and Reduced-price Lunch Table,213.0
2017-2018,AL,Boaz High School,AL-115-0060,010001200874,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,38.35,Free and Reduced-price Lunch Table,390.0
2017-2018,AL,HewittTrussville High School,AL-205-0890,010001301682,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,84.97,Free and Reduced-price Lunch Table,123.0
2017-2018,AL,Benjamin Russell High School,AL-102-0020,010003000003,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,50.87,Free and Reduced-price Lunch Table,399.0
2017-2018,AL,Andalusia High School,AL-104-0010,010006000007,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,29.83,Free and Reduced-price Lunch Table,236.0
2017-2018,AL,Anniston High School,AL-105-0010,010009000011,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,32.0,Free and Reduced-price Lunch Table,404.0
2017-2018,AL,Arab High School,AL-106-0020,010010000028,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,49.33,Free and Reduced-price Lunch Table,204.0
2017-2018,AL,Athens High School,AL-107-0030,010012001472,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,60.5,Free and Reduced-price Lunch Table,441.0
2017-2018,AL,Etowah High School,AL-109-0025,010018000033,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,42.0,Free and Reduced-price Lunch Table,365.0
2017-2018,AL,Saraland High School,AL-187-0635,010018502137,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,57.67,Free and Reduced-price Lunch Table,429.0
2017-2018,AL,Chickasaw City High School,AL-121-0020,010018802194,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,14.71,Free and Reduced-price Lunch Table,237.0
2017-2018,AL,Satsuma High School,AL-196-0020,010018902195,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,39.0,Free and Reduced-price Lunch Table,298.0
2017-2018,AL,Thompson High School,AL-103-0050,010019001183,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,114.85,Free and Reduced-price Lunch Table,618.0
2017-2018,AL,Pelham High School,AL-177-0085,010019402399,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,60.5,Free and Reduced-price Lunch Table,278.0
2017-2018,AL,Acceleration Day and Evening Academy,AL-800-0010,010019702432,1,Regular School,1,High,Not reported,Not reported,7.0,Free and Reduced-price Lunch Table,198.0
2017-2018,AL,Auburn High School,AL-110-0010,010021000036,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,111.5,Free and Reduced-price Lunch Table,364.0
2017-2018,AL,Marbury High School,AL-001-0050,010024000046,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,31.0,Free and Reduced-price Lunch Table,244.0
2017-2018,AL,Prattville High School,AL-001-0086,010024000048,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,99.0,Free and Reduced-price Lunch Table,665.0
2017-2018,AL,Robertsdale High School,AL-002-0117,010027000024,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,75.5,Free and Reduced-price Lunch Table,786.0
2017-2018,AL,Fairhope High School,AL-002-0065,010027000100,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,93.34,Free and Reduced-price Lunch Table,440.0
2017-2018,AL,Gulf Shores High School,AL-002-0089,010027000641,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,50.2,Free and Reduced-price Lunch Table,305.0
2017-2018,AL,Daphne High School,AL-002-0035,010027001759,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,70.9,Free and Reduced-price Lunch Table,409.0
2017-2018,AL,Foley High School,AL-002-0083,010027001784,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,99.43,Free and Reduced-price Lunch Table,1120.0
2017-2018,AL,Baldwin County High School,AL-002-0005,010027001810,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,68.75,Free and Reduced-price Lunch Table,679.0
2017-2018,AL,Spanish Fort High School,AL-002-0145,010027002073,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,61.0,Free and Reduced-price Lunch Table,186.0
2017-2018,AL,Barbour County High School,AL-003-0020,010030000074,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,22.0,Free and Reduced-price Lunch Table,328.0
2017-2018,AL,Bessemer City High School,AL-113-0080,010033000087,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,42.0,Free and Reduced-price Lunch Table,576.0
2017-2018,AL,Bibb County High School,AL-004-0010,010036000092,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,29.0,Free and Reduced-price Lunch Table,319.0
2017-2018,AL,West Blocton High School,AL-004-0080,010036000099,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,27.25,Free and Reduced-price Lunch Table,232.0
