LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_APENR_IND,SCH_APCOURSES,SCH_APMATHENR_IND,Total_AP_math_students,Total_students_tookAP,SCH_APENR_IND_new,SCH_APMATHENR_IND_new
AL,ALABAMA,0100002,Alabama Youth Services,01876,Alabama Youth Services,10000201876,010000201876,No,0,-9,0,0,0,0
AL,ALABAMA,0100005,Albertville City,00871,Albertville High School,10000500871,010000500871,Yes,8,Yes,53,286,1,1
AL,ALABAMA,0100006,Marshall County,00872,Asbury High School,10000600872,010000600872,Yes,3,No,0,46,1,0
AL,ALABAMA,0100006,Marshall County,00878,Douglas High School,10000600878,010000600878,Yes,6,Yes,18,244,1,1
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High School,10000600883,010000600883,Yes,6,Yes,18,205,1,1
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mountain High School,10000601585,010000601585,Yes,5,Yes,11,102,1,1
AL,ALABAMA,0100007,Hoover City,00251,Hoover High School,10000700251,010000700251,Yes,15,Yes,90,516,1,1
AL,ALABAMA,0100007,Hoover City,01456,Spain Park High School,10000701456,010000701456,Yes,16,Yes,95,410,1,1
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High School,10000800831,010000800831,Yes,16,Yes,63,276,1,1
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,10000802198,010000802198,Yes,19,No,0,425,1,0
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01403,Alabama School For Deaf,10000901403,010000901403,No,0,-9,0,0,0,0
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01404,Alabama School For Blind,10000901404,010000901404,No,0,-9,0,0,0,0
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01405,Helen Keller School,10000901405,010000901405,No,0,-9,0,0,0,0
AL,ALABAMA,0100011,Leeds City,02096,Leeds High School,10001102096,010001102096,Yes,7,Yes,20,105,1,1
AL,ALABAMA,0100012,Boaz City,00874,Boaz High School,10001200874,010001200874,Yes,8,Yes,8,117,1,1
AL,ALABAMA,0100013,Trussville City,01682,HewittTrussville High School,10001301682,010001301682,Yes,19,Yes,91,381,1,1
AL,ALABAMA,0100018,Alabama School of Fine Arts,02104,Alabama School of Fine Arts,10001802104,010001802104,Yes,13,Yes,33,86,1,1
AL,ALABAMA,0100020,Boyd School,01831,The Boyd School,10002001831,010002001831,No,0,-9,0,0,0,0
AL,ALABAMA,0100021,Brewer-Porch Childrens Center,01832,Brewer Porch Children's Ctr,10002101832,010002101832,No,0,-9,0,0,0,0
