LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG,SCH_MATHCERT_ALG,NCESSCH,Total_Alg1_enroll_students,Total_Alg1_pass_students
AL,ALABAMA,0100002,Alabama Youth Services,01705,Wallace Sch - Mt Meigs Campus,10000201705,15,15,010000201705,38,30
AL,ALABAMA,0100002,Alabama Youth Services,01706,McNeel Sch - Vacca Campus,10000201706,6,6,010000201706,18,18
AL,ALABAMA,0100002,Alabama Youth Services,01876,Alabama Youth Services,10000201876,6,6,010000201876,18,18
AL,ALABAMA,0100002,Alabama Youth Services,99995,AUTAUGA CAMPUS,10000299995,6,0,010000299995,11,0
AL,ALABAMA,0100005,Albertville City,00871,Albertville High School,10000500871,23,23,010000500871,450,428
AL,ALABAMA,0100006,Marshall County,00872,Asbury High School,10000600872,4,4,010000600872,63,62
AL,ALABAMA,0100006,Marshall County,00878,Douglas High School,10000600878,4,4,010000600878,117,113
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High School,10000600883,4,4,010000600883,105,105
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mountain High School,10000601585,4,4,010000601585,161,149
AL,ALABAMA,0100007,Hoover City,00251,Hoover High School,10000700251,24,23,010000700251,496,44
AL,ALABAMA,0100007,Hoover City,01456,Spain Park High School,10000701456,15,13,010000701456,236,0
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High School,10000800831,8,8,010000800831,436,422
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,10000802198,18,18,010000802198,294,280
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01403,Alabama School For Deaf,10000901403,2,2,010000901403,7,6
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01404,Alabama School For Blind,10000901404,1,1,010000901404,5,5
AL,ALABAMA,0100011,Leeds City,02096,Leeds High School,10001102096,4,4,010001102096,99,96
AL,ALABAMA,0100012,Boaz City,00874,Boaz High School,10001200874,11,11,010001200874,180,178
AL,ALABAMA,0100013,Trussville City,01682,HewittTrussville High School,10001301682,8,8,010001301682,175,138
AL,ALABAMA,0100018,Alabama School of Fine Arts,02104,Alabama School of Fine Arts,10001802104,3,3,010001802104,11,11
AL,ALABAMA,0100020,Boyd School,01831,The Boyd School,10002001831,2,0,010002001831,2,0
AL,ALABAMA,0100022,Sequel TSI Courtland,01833,Three Springs Courtland Sch,10002201833,3,1,010002201833,13,12
AL,ALABAMA,0100023,Sequel Madison TSI School of Alabama,01834,Sequel Madison TSI,10002301834,1,1,010002301834,10,6
AL,ALABAMA,0100024,Sequel TSI- New Beginnings School/ Owens Crossroads,01835,Three Springs New Beginnings,10002401835,1,0,010002401835,5,5
AL,ALABAMA,0100026,Sequel TSI Tuskegee,02352,Sequel TSI Tuskegee LLC,10002602352,1,1,010002602352,10,10
AL,ALABAMA,0100030,Alexander City,00003,Benjamin Russell High School,10003000003,9,9,010003000003,151,148
AL,ALABAMA,0100036,Lee Co Youth Development Ctr,99999,CHANTICLEER LEARNING CENTER,10003699999,3,3,010003699999,27,16
