LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG2,SCH_MATHCERT_ALG2,NCESSCH,Total_Alg2_enroll_students
AL,ALABAMA,0100005,Albertville City,00871,Albertville High School,010000500871,12,12,010000500871,215
AL,ALABAMA,0100006,Marshall County,00872,Asbury High School,010000600872,4,4,010000600872,95
AL,ALABAMA,0100006,Marshall County,00878,Douglas High School,010000600878,6,6,010000600878,162
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High School,010000600883,5,5,010000600883,143
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mountain High School,010000601585,4,4,010000601585,88
AL,ALABAMA,0100007,Hoover City,00251,Hoover High School,010000700251,7,7,010000700251,152
AL,ALABAMA,0100007,Hoover City,01456,Spain Park High School,010000701456,6,6,010000701456,92
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High School,010000800831,3,3,010000800831,45
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,010000802198,9,9,010000802198,16
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01403,Alabama School For Deaf,010000901403,2,2,010000901403,5
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01404,Alabama School For Blind,010000901404,2,2,010000901404,9
AL,ALABAMA,0100011,Leeds City,02096,Leeds High School,010001102096,6,6,010001102096,112
AL,ALABAMA,0100012,Boaz City,00874,Boaz High School,010001200874,4,4,010001200874,75
AL,ALABAMA,0100013,Trussville City,01682,HewittTrussville High School,010001301682,9,9,010001301682,212
AL,ALABAMA,0100018,Alabama School of Fine Arts,02104,Alabama School of Fine Arts,010001802104,5,5,010001802104,65
AL,ALABAMA,0100022,Sequel TSI Courtland,01833,Three Springs Courtland Sch,010002201833,1,1,010002201833,4
AL,ALABAMA,0100023,Sequel Madison TSI School of Alabama,01834,Sequel Madison TSI,010002301834,1,1,010002301834,1
AL,ALABAMA,0100024,Sequel TSI- New Beginnings School/ Owens Crossroads,01835,Three Springs New Beginnings,010002401835,1,0,010002401835,1
AL,ALABAMA,0100026,Sequel TSI Tuskegee,02352,Sequel TSI Tuskegee LLC,010002602352,1,1,010002602352,2
AL,ALABAMA,0100030,Alexander City,00003,Benjamin Russell High School,010003000003,5,5,010003000003,121
AL,ALABAMA,0100036,Lee Co Youth Development Ctr,99999,CHANTICLEER LEARNING CENTER,010003699999,3,3,010003699999,6
AL,ALABAMA,0100038,Pathway Inc,01849,Pathway Inc,010003801849,2,0,010003801849,14
AL,ALABAMA,0100039,Presbyterian Home For Children,01850,Hope Academy,010003901850,1,1,010003901850,3
AL,ALABAMA,0100041,"Developing Alabama Youth Foundation, (DAY) Inc.",01852,Developing Alabama Youth Prog,010004101852,4,4,010004101852,6
AL,ALABAMA,0100044,The Rushton School,01855,The Rushton School,010004401855,1,0,010004401855,5
AL,ALABAMA,0100060,Andalusia City,00007,Andalusia High School,010006000007,6,6,010006000007,124
AL,ALABAMA,0100090,Anniston City,00011,Anniston High School,010009000011,5,4,010009000011,115
AL,ALABAMA,0100090,Anniston City,01246,Anniston City Boot Camp School,010009001246,1,1,010009001246,2
AL,ALABAMA,0100100,Arab City,00028,Arab High School,010010000028,3,3,010010000028,57
AL,ALABAMA,0100120,Athens City,01472,Athens High School,010012001472,11,11,010012001472,194
AL,ALABAMA,0100120,Athens City,02417,Athens Renaissance School,010012002417,5,5,010012002417,32
AL,ALABAMA,0100178,Higdon Hill School,02113,Higdon Hill School,010017802113,2,0,010017802113,29
AL,ALABAMA,0100178,Higdon Hill School,02374,Higdon Hill,010017802374,2,0,010017802374,31
AL,ALABAMA,0100180,Attalla City,00033,Etowah High School,010018000033,6,6,010018000033,117
AL,ALABAMA,0100183,Alabama Clinical School,02114,Alabama Clinical School,010018302114,2,1,010018302114,2
AL,ALABAMA,0100189,Satsuma City,02195,Satsuma High School,010018902195,3,3,010018902195,53
AL,ALABAMA,0100190,Alabaster City,01183,Thompson High School,010019001183,2,2,010019001183,47
AL,ALABAMA,0100194,Pelham City,02399,Pelham High School,010019402399,10,10,010019402399,194
AL,ALABAMA,0100195,Pike Road City,02424,Pike Road Historic School,010019502424,2,0,010019502424,28
AL,ALABAMA,0100198,Sequel TSI School of Montgomery,02450,Sequel TSI School of Montgomery,010019802450,1,1,010019802450,2
AL,ALABAMA,0100210,Auburn City,00036,Auburn High School,010021000036,7,7,010021000036,130
AL,ALABAMA,0100210,Auburn City,00037,Auburn Junior High School,010021000037,2,2,010021000037,45
AL,ALABAMA,0100240,Autauga County,00045,Billingsley High School,010024000045,3,3,010024000045,30
AL,ALABAMA,0100240,Autauga County,00046,Marbury High School,010024000046,6,6,010024000046,107
AL,ALABAMA,0100240,Autauga County,00048,Prattville High School,010024000048,3,3,010024000048,54
AL,ALABAMA,0100240,Autauga County,01408,Autaugaville School,010024001408,1,1,010024001408,5
AL,ALABAMA,0100270,Baldwin County,00024,Robertsdale High School,010027000024,13,7,010027000024,114
AL,ALABAMA,0100270,Baldwin County,00100,Fairhope High School,010027000100,27,13,010027000100,327
AL,ALABAMA,0100270,Baldwin County,00641,Gulf Shores High School,010027000641,14,8,010027000641,157
AL,ALABAMA,0100270,Baldwin County,01759,Daphne High School,010027001759,19,11,010027001759,236
AL,ALABAMA,0100270,Baldwin County,01784,Foley High School,010027001784,6,5,010027001784,104
AL,ALABAMA,0100270,Baldwin County,01810,Baldwin County High School,010027001810,21,10,010027001810,237
AL,ALABAMA,0100270,Baldwin County,02073,Spanish Fort High School,010027002073,21,12,010027002073,239
AL,ALABAMA,0100270,Baldwin County,02443,Baldwin County Virtual School,010027002443,11,7,010027002443,50
AL,ALABAMA,0100330,Bessemer City,00087,Bessemer City High School,010033000087,3,3,010033000087,78
AL,ALABAMA,0100330,Bessemer City,01264,New Horizon Alternative School,010033001264,1,1,010033001264,2
AL,ALABAMA,0100360,Bibb County,00092,Bibb County High School,010036000092,5,5,010036000092,133
AL,ALABAMA,0100390,Birmingham City,00141,Huffman High SchoolMagnet,010039000141,5,5,010039000141,147
AL,ALABAMA,0100390,Birmingham City,00164,JacksonOlin High School,010039000164,8,8,010039000164,74
AL,ALABAMA,0100390,Birmingham City,00165,Parker High School,010039000165,5,2,010039000165,148
AL,ALABAMA,0100390,Birmingham City,00176,Ramsay High School,010039000176,7,7,010039000176,185
AL,ALABAMA,0100390,Birmingham City,00192,Wenonah High School,010039000192,9,8,010039000192,137
AL,ALABAMA,0100390,Birmingham City,00198,Woodlawn High SchoolMagnet,010039000198,7,7,010039000198,168
AL,ALABAMA,0100390,Birmingham City,01468,George Washington Carver High School,010039001468,10,2,010039001468,182
AL,ALABAMA,0100420,Blount County,00203,Appalachian  School,010042000203,2,2,010042000203,41
AL,ALABAMA,0100420,Blount County,00206,Cleveland High School,010042000206,2,2,010042000206,33
AL,ALABAMA,0100420,Blount County,00208,Hayden High School,010042000208,9,9,010042000208,180
AL,ALABAMA,0100420,Blount County,00209,JB Pennington High School,010042000209,3,3,010042000209,53
AL,ALABAMA,0100420,Blount County,00210,Locust Fork High School,010042000210,3,3,010042000210,58
AL,ALABAMA,0100420,Blount County,00211,Southeastern School,010042000211,2,2,010042000211,55
AL,ALABAMA,0100420,Blount County,00213,Susan Moore High School,010042000213,2,2,010042000213,43
AL,ALABAMA,0100450,Brewton City,00216,TR Miller High School,010045000216,4,4,010045000216,84
AL,ALABAMA,0100480,Bullock County,00218,Bullock County High School,010048000218,4,3,010048000218,101
AL,ALABAMA,0100510,Butler County,00226,Greenville High School,010051000226,7,6,010051000226,76
AL,ALABAMA,0100510,Butler County,00229,McKenzie High School,010051000229,1,1,010051000229,22
AL,ALABAMA,0100510,Butler County,02144,Georgiana School,010051002144,1,1,010051002144,24
AL,ALABAMA,0100540,Calhoun County,00232,Alexandria High School,010054000232,5,5,010054000232,139
AL,ALABAMA,0100540,Calhoun County,00240,Ohatchee High School,010054000240,42,42,010054000240,42
AL,ALABAMA,0100540,Calhoun County,00243,Saks High School,010054000243,2,2,010054000243,56
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High School,010054000250,3,3,010054000250,62
AL,ALABAMA,0100540,Calhoun County,01488,Pleasant Valley High School,010054001488,4,4,010054001488,52
AL,ALABAMA,0100540,Calhoun County,01489,Wellborn High School,010054001489,5,5,010054001489,106
AL,ALABAMA,0100600,Chambers County,00271,Valley High School,010060000271,5,5,010060000271,74
AL,ALABAMA,0100630,Cherokee County,00274,Cedar Bluff High School,010063000274,2,2,010063000274,45
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee County High School,010063000278,3,3,010063000278,69
AL,ALABAMA,0100630,Cherokee County,00279,Gaylesville High School,010063000279,1,1,010063000279,8
AL,ALABAMA,0100630,Cherokee County,00282,Sand Rock High School,010063000282,2,2,010063000282,36
AL,ALABAMA,0100630,Cherokee County,00283,Spring Garden High School,010063000283,2,2,010063000283,50
AL,ALABAMA,0100630,Cherokee County,00741,Cherokee County Career Technology Center,010063000741,1,0,010063000741,10
AL,ALABAMA,0100660,Chilton County,00261,Isabella High School,010066000261,2,2,010066000261,53
