LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_MATHCERT_GEOM,SCH_MATHCLASSES_GEOM,Total_Geomty_enroll_students
AL,ALABAMA,0100002,Alabama Youth Services,01705,Wallace Sch - Mt Meigs Campus,010000201705,010000201705,15,15,25
AL,ALABAMA,0100002,Alabama Youth Services,01876,Alabama Youth Services,010000201876,010000201876,6,6,8
AL,ALABAMA,0100005,Albertville City,00871,Albertville High School,010000500871,010000500871,10,10,329
AL,ALABAMA,0100006,Marshall County,00872,Asbury High School,010000600872,010000600872,1,1,81
AL,ALABAMA,0100006,Marshall County,00878,Douglas High School,010000600878,010000600878,8,8,276
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High School,010000600883,010000600883,4,4,111
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mountain High School,010000601585,010000601585,3,3,150
AL,ALABAMA,0100007,Hoover City,00251,Hoover High School,010000700251,010000700251,37,41,767
AL,ALABAMA,0100007,Hoover City,01456,Spain Park High School,010000701456,010000701456,19,22,418
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High School,010000800831,010000800831,9,9,210
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,010000802198,010000802198,14,14,300
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01403,Alabama School For Deaf,010000901403,010000901403,1,1,10
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01404,Alabama School For Blind,010000901404,010000901404,1,1,9
AL,ALABAMA,0100011,Leeds City,02096,Leeds High School,010001102096,010001102096,6,6,126
AL,ALABAMA,0100012,Boaz City,00874,Boaz High School,010001200874,010001200874,12,12,198
AL,ALABAMA,0100013,Trussville City,01682,HewittTrussville High School,010001301682,010001301682,11,11,252
AL,ALABAMA,0100018,Alabama School of Fine Arts,02104,Alabama School of Fine Arts,010001802104,010001802104,5,5,64
AL,ALABAMA,0100022,Sequel TSI Courtland,01833,Three Springs Courtland Sch,010002201833,010002201833,1,3,9
AL,ALABAMA,0100023,Sequel Madison TSI School of Alabama,01834,Sequel Madison TSI,010002301834,010002301834,1,1,13
AL,ALABAMA,0100024,Sequel TSI- New Beginnings School/ Owens Crossroads,01835,Three Springs New Beginnings,010002401835,010002401835,0,1,6
AL,ALABAMA,0100026,Sequel TSI Tuskegee,02352,Sequel TSI Tuskegee LLC,010002602352,010002602352,1,1,2
AL,ALABAMA,0100030,Alexander City,00003,Benjamin Russell High School,010003000003,010003000003,9,9,231
AL,ALABAMA,0100036,Lee Co Youth Development Ctr,99999,CHANTICLEER LEARNING CENTER,010003699999,010003699999,3,3,17
AL,ALABAMA,0100038,Pathway Inc,01849,Pathway Inc,010003801849,010003801849,0,2,24
AL,ALABAMA,0100039,Presbyterian Home For Children,01850,Hope Academy,010003901850,010003901850,1,1,2
AL,ALABAMA,0100041,"Developing Alabama Youth Foundation, (DAY) Inc.",01852,Developing Alabama Youth Prog,010004101852,010004101852,4,4,16
AL,ALABAMA,0100044,The Rushton School,01855,The Rushton School,010004401855,010004401855,0,1,9
AL,ALABAMA,0100060,Andalusia City,00007,Andalusia High School,010006000007,010006000007,6,6,114
AL,ALABAMA,0100090,Anniston City,00011,Anniston High School,010009000011,010009000011,5,6,129
AL,ALABAMA,0100100,Arab City,00028,Arab High School,010010000028,010010000028,7,7,135
AL,ALABAMA,0100120,Athens City,01472,Athens High School,010012001472,010012001472,14,14,246
AL,ALABAMA,0100120,Athens City,02417,Athens Renaissance School,010012002417,010012002417,6,6,71
AL,ALABAMA,0100178,Higdon Hill School,02113,Higdon Hill School,010017802113,010017802113,0,1,15
AL,ALABAMA,0100178,Higdon Hill School,02374,Higdon Hill,010017802374,010017802374,0,1,16
AL,ALABAMA,0100180,Attalla City,00033,Etowah High School,010018000033,010018000033,14,14,211
AL,ALABAMA,0100183,Alabama Clinical School,02114,Alabama Clinical School,010018302114,010018302114,1,10,14
AL,ALABAMA,0100189,Satsuma City,02195,Satsuma High School,010018902195,010018902195,6,6,140
AL,ALABAMA,0100190,Alabaster City,01183,Thompson High School,010019001183,010019001183,9,9,554
AL,ALABAMA,0100194,Pelham City,02399,Pelham High School,010019402399,010019402399,9,9,248
AL,ALABAMA,0100195,Pike Road City,02424,Pike Road Historic School,010019502424,010019502424,4,4,101
AL,ALABAMA,0100198,Sequel TSI School of Montgomery,02450,Sequel TSI School of Montgomery,010019802450,010019802450,1,1,4
AL,ALABAMA,0100210,Auburn City,00036,Auburn High School,010021000036,010021000036,19,19,467
AL,ALABAMA,0100210,Auburn City,00037,Auburn Junior High School,010021000037,010021000037,8,8,179
AL,ALABAMA,0100240,Autauga County,00045,Billingsley High School,010024000045,010024000045,1,1,19
AL,ALABAMA,0100240,Autauga County,00046,Marbury High School,010024000046,010024000046,10,10,150
AL,ALABAMA,0100240,Autauga County,00048,Prattville High School,010024000048,010024000048,26,26,294
AL,ALABAMA,0100240,Autauga County,01408,Autaugaville School,010024001408,010024001408,1,1,14
AL,ALABAMA,0100270,Baldwin County,00024,Robertsdale High School,010027000024,010027000024,9,23,265
AL,ALABAMA,0100270,Baldwin County,00100,Fairhope High School,010027000100,010027000100,9,19,194
AL,ALABAMA,0100270,Baldwin County,00641,Gulf Shores High School,010027000641,010027000641,8,17,204
AL,ALABAMA,0100270,Baldwin County,01759,Daphne High School,010027001759,010027001759,4,10,137
AL,ALABAMA,0100270,Baldwin County,01784,Foley High School,010027001784,010027001784,12,23,281
AL,ALABAMA,0100270,Baldwin County,01810,Baldwin County High School,010027001810,010027001810,6,15,201
AL,ALABAMA,0100270,Baldwin County,02073,Spanish Fort High School,010027002073,010027002073,8,18,127
AL,ALABAMA,0100270,Baldwin County,02443,Baldwin County Virtual School,010027002443,010027002443,6,13,49
AL,ALABAMA,0100330,Bessemer City,00087,Bessemer City High School,010033000087,010033000087,10,10,276
AL,ALABAMA,0100330,Bessemer City,01264,New Horizon Alternative School,010033001264,010033001264,1,1,5
AL,ALABAMA,0100360,Bibb County,00092,Bibb County High School,010036000092,010036000092,3,3,132
AL,ALABAMA,0100360,Bibb County,00099,West Blocton High School,010036000099,010036000099,4,4,106
AL,ALABAMA,0100390,Birmingham City,00141,Huffman High SchoolMagnet,010039000141,010039000141,21,21,524
AL,ALABAMA,0100390,Birmingham City,00164,JacksonOlin High School,010039000164,010039000164,0,8,202
AL,ALABAMA,0100390,Birmingham City,00165,Parker High School,010039000165,010039000165,2,7,99
AL,ALABAMA,0100390,Birmingham City,00176,Ramsay High School,010039000176,010039000176,8,8,177
AL,ALABAMA,0100390,Birmingham City,00192,Wenonah High School,010039000192,010039000192,8,8,222
AL,ALABAMA,0100390,Birmingham City,00198,Woodlawn High SchoolMagnet,010039000198,010039000198,8,8,166
AL,ALABAMA,0100390,Birmingham City,01468,George Washington Carver High School,010039001468,010039001468,6,6,142
AL,ALABAMA,0100420,Blount County,00203,Appalachian  School,010042000203,010042000203,3,4,66
AL,ALABAMA,0100420,Blount County,00206,Cleveland High School,010042000206,010042000206,5,6,50
AL,ALABAMA,0100420,Blount County,00208,Hayden High School,010042000208,010042000208,6,6,153
AL,ALABAMA,0100420,Blount County,00209,JB Pennington High School,010042000209,010042000209,4,4,69
AL,ALABAMA,0100420,Blount County,00210,Locust Fork High School,010042000210,010042000210,3,3,62
AL,ALABAMA,0100420,Blount County,00211,Southeastern School,010042000211,010042000211,2,2,37
AL,ALABAMA,0100420,Blount County,00213,Susan Moore High School,010042000213,010042000213,6,6,98
AL,ALABAMA,0100450,Brewton City,00216,TR Miller High School,010045000216,010045000216,4,4,77
AL,ALABAMA,0100480,Bullock County,00218,Bullock County High School,010048000218,010048000218,4,5,108
AL,ALABAMA,0100510,Butler County,00226,Greenville High School,010051000226,010051000226,16,18,284
AL,ALABAMA,0100510,Butler County,00229,McKenzie High School,010051000229,010051000229,2,2,43
AL,ALABAMA,0100510,Butler County,02144,Georgiana School,010051002144,010051002144,2,2,29
AL,ALABAMA,0100540,Calhoun County,00232,Alexandria High School,010054000232,010054000232,6,6,113
AL,ALABAMA,0100540,Calhoun County,00240,Ohatchee High School,010054000240,010054000240,73,73,73
AL,ALABAMA,0100540,Calhoun County,00243,Saks High School,010054000243,010054000243,4,4,82
AL,ALABAMA,0100540,Calhoun County,00247,Weaver High School,010054000247,010054000247,4,4,92
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High School,010054000250,010054000250,4,4,106
AL,ALABAMA,0100540,Calhoun County,01488,Pleasant Valley High School,010054001488,010054001488,4,4,79
AL,ALABAMA,0100540,Calhoun County,01489,Wellborn High School,010054001489,010054001489,4,4,68
AL,ALABAMA,0100600,Chambers County,00263,Lafayette High School,010060000263,010060000263,1,3,43
AL,ALABAMA,0100600,Chambers County,00271,Valley High School,010060000271,010060000271,12,13,158
AL,ALABAMA,0100630,Cherokee County,00274,Cedar Bluff High School,010063000274,010063000274,3,3,60
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee County High School,010063000278,010063000278,6,6,114
AL,ALABAMA,0100630,Cherokee County,00279,Gaylesville High School,010063000279,010063000279,2,2,26
AL,ALABAMA,0100630,Cherokee County,00282,Sand Rock High School,010063000282,010063000282,2,2,34
AL,ALABAMA,0100630,Cherokee County,00283,Spring Garden High School,010063000283,010063000283,1,1,17
AL,ALABAMA,0100660,Chilton County,00261,Isabella High School,010066000261,010066000261,3,3,54
AL,ALABAMA,0100660,Chilton County,00262,Jemison High School,010066000262,010066000262,9,9,175
AL,ALABAMA,0100660,Chilton County,00265,Maplesville High School,010066000265,010066000265,2,2,27
AL,ALABAMA,0100660,Chilton County,00270,Thorsby High School,010066000270,010066000270,3,3,98
AL,ALABAMA,0100660,Chilton County,00288,Verbena High School,010066000288,010066000288,3,3,28
AL,ALABAMA,0100660,Chilton County,01491,Chilton County High School,010066001491,010066001491,4,12,232
AL,ALABAMA,0100690,Choctaw County Board of Education,00291,Choctaw County High School,010069000291,010069000291,2,2,66
AL,ALABAMA,0100690,Choctaw County Board of Education,00297,Southern Choctaw High School,010069000297,010069000297,2,2,50
AL,ALABAMA,0100720,Clarke County,00298,Clarke County High School,010072000298,010072000298,4,4,77
AL,ALABAMA,0100720,Clarke County,01493,Jackson High School,010072001493,010072001493,7,7,127
AL,ALABAMA,0100780,Cleburne County,00318,Cleburne County High School,010078000318,010078000318,6,6,126
AL,ALABAMA,0100780,Cleburne County,00321,Ranburne High School,010078000321,010078000321,2,2,43
AL,ALABAMA,0100810,Coffee County,00323,Kinston School,010081000323,010081000323,4,4,37
AL,ALABAMA,0100810,Coffee County,00327,Zion Chapel High School,010081000327,010081000327,4,4,63
AL,ALABAMA,0100810,Coffee County,01494,New Brockton High School,010081001494,010081001494,3,4,63
AL,ALABAMA,0100840,Colbert County,00333,Cherokee High School,010084000333,010084000333,1,1,13
AL,ALABAMA,0100840,Colbert County,00334,Colbert County High School,010084000334,010084000334,4,4,78
AL,ALABAMA,0100840,Colbert County,00335,Colbert Heights High School,010084000335,010084000335,3,3,74
