LEA_STATE_x,LEA_STATE_NAME_x,LEAID_x,LEA_NAME_x,SCHID_x,SCH_NAME_x,COMBOKEY_x,Special_ed_schl_new,Magnet_schl_new,Charter_Schl_new,Alternate_schl_new,NCESSCH,LEVEL,Total_enroll_students,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,FTE_teachers_count,SalaryforTeachers,Total_SAT_ACT_students,SCH_IBENR_IND_new,Total_IB_students,SCH_APENR_IND_new,SCH_APCOURSES,SCH_APOTHENR_IND_new,Total_AP_other_students,Total_students_tookAP
AL,ALABAMA,0100005,Albertville City,00871,Albertville High School,010000500871,0,0,0,0,010000500871,High,1449.0,78.17,71.17,7.0,72.88,3780956.34,363.0,0.0,-18.0,1.0,8.0,1.0,179.0,286.0
AL,ALABAMA,0100006,Marshall County,00872,Asbury High School,010000600872,0,0,0,0,010000600872,High,547.0,32.0,31.0,1.0,32.0,1551823.89,61.0,0.0,-18.0,1.0,3.0,1.0,33.0,46.0
AL,ALABAMA,0100006,Marshall County,00878,Douglas High School,010000600878,0,0,0,0,010000600878,High,591.0,36.0,36.0,0.0,36.0,1654974.93,142.0,0.0,-18.0,1.0,6.0,1.0,185.0,244.0
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High School,010000600883,0,0,0,0,010000600883,High,452.0,29.0,29.0,0.0,29.0,1256524.51,103.0,0.0,-18.0,1.0,6.0,1.0,116.0,205.0
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mountain High School,010000601585,0,0,0,0,010000601585,High,632.0,37.0,36.0,1.0,37.0,1540288.05,76.0,0.0,-18.0,1.0,5.0,1.0,76.0,102.0
AL,ALABAMA,0100007,Hoover City,00251,Hoover High School,010000700251,0,0,0,0,010000700251,High,2886.0,209.5,205.5,4.0,205.35,11382699.13,1189.0,1.0,101.0,1.0,15.0,1.0,453.0,516.0
AL,ALABAMA,0100007,Hoover City,01456,Spain Park High School,010000701456,0,0,0,0,010000701456,High,1669.0,111.78,110.78,1.0,111.13,6611878.23,647.0,0.0,-18.0,1.0,16.0,1.0,467.0,410.0
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High School,010000800831,0,0,0,0,010000800831,High,1779.0,97.02,97.02,0.0,96.52,5452615.27,526.0,0.0,-18.0,1.0,16.0,1.0,212.0,276.0
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,010000802198,0,0,0,0,010000802198,High,1920.0,110.83,110.83,0.0,108.36,5871553.94,486.0,0.0,-18.0,1.0,19.0,1.0,398.0,425.0
AL,ALABAMA,0100011,Leeds City,02096,Leeds High School,010001102096,0,0,0,0,010001102096,High,488.0,32.0,32.0,0.0,29.6,1602720.5,97.0,0.0,-18.0,1.0,7.0,1.0,61.0,105.0
AL,ALABAMA,0100012,Boaz City,00874,Boaz High School,010001200874,0,0,0,0,010001200874,High,621.0,37.74,37.74,0.0,37.74,1904017.14,251.0,0.0,-18.0,1.0,8.0,1.0,119.0,117.0
AL,ALABAMA,0100013,Trussville City,01682,HewittTrussville High School,010001301682,0,0,0,0,010001301682,High,1482.0,91.76,91.76,0.0,91.76,5237061.19,357.0,0.0,-18.0,1.0,19.0,1.0,303.0,381.0
AL,ALABAMA,0100030,Alexander City,00003,Benjamin Russell High School,010003000003,0,0,0,0,010003000003,High,862.0,55.0,52.0,3.0,49.5,2716048.54,227.0,0.0,-18.0,1.0,6.0,1.0,114.0,124.0
AL,ALABAMA,0100060,Andalusia City,00007,Andalusia High School,010006000007,0,0,0,0,010006000007,High,490.0,33.0,32.0,1.0,31.63,1294715.32,126.0,0.0,-18.0,1.0,3.0,1.0,5.0,2.0
AL,ALABAMA,0100090,Anniston City,00011,Anniston High School,010009000011,0,0,0,0,010009000011,High,472.0,28.0,24.0,4.0,28.0,1635906.0,107.0,0.0,-18.0,1.0,5.0,1.0,71.0,69.0
AL,ALABAMA,0100100,Arab City,00028,Arab High School,010010000028,0,0,0,0,010010000028,High,760.0,52.36,51.36,1.0,52.36,2824211.13,173.0,0.0,-18.0,1.0,13.0,1.0,146.0,168.0
AL,ALABAMA,0100120,Athens City,01472,Athens High School,010012001472,0,0,0,0,010012001472,High,992.0,54.0,54.0,0.0,54.0,3018187.75,417.0,0.0,-18.0,1.0,9.0,1.0,111.0,154.0
AL,ALABAMA,0100180,Attalla City,00033,Etowah High School,010018000033,0,0,0,0,010018000033,High,592.0,40.07,40.07,0.0,40.07,2016821.38,250.0,0.0,-18.0,1.0,7.0,1.0,48.0,75.0
AL,ALABAMA,0100185,Saraland City,02137,Saraland High School,010018502137,0,0,0,0,010018502137,High,1040.0,58.67,58.67,0.0,56.37,2720805.82,525.0,0.0,-18.0,1.0,8.0,0.0,-18.0,41.0
AL,ALABAMA,0100188,Chickasaw City,02194,Chickasaw City High School,010018802194,0,0,0,0,010018802194,High,263.0,21.0,0.0,21.0,15.65,4799334.24,87.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100189,Satsuma City,02195,Satsuma High School,010018902195,0,0,0,0,010018902195,High,758.0,38.83,38.83,0.0,38.83,1978321.5,126.0,0.0,-18.0,1.0,7.0,1.0,34.0,16.0
AL,ALABAMA,0100190,Alabaster City,01183,Thompson High School,010019001183,0,0,0,0,010019001183,High,1984.0,129.72,129.72,0.0,129.72,5602781.88,498.0,0.0,-18.0,1.0,17.0,1.0,459.0,503.0
AL,ALABAMA,0100194,Pelham City,02399,Pelham High School,010019402399,0,0,0,0,010019402399,High,945.0,72.38,72.38,0.0,60.5,3119741.27,429.0,0.0,-18.0,1.0,12.0,1.0,161.0,172.0
AL,ALABAMA,0100210,Auburn City,00036,Auburn High School,010021000036,0,0,0,0,010021000036,High,1843.0,113.8,113.8,0.0,102.8,5528434.41,637.0,1.0,82.0,1.0,22.0,1.0,580.0,573.0
AL,ALABAMA,0100240,Autauga County,00046,Marbury High School,010024000046,0,0,0,0,010024000046,High,591.0,31.0,31.0,0.0,31.0,1521589.5,214.0,0.0,-18.0,1.0,9.0,1.0,43.0,34.0
AL,ALABAMA,0100240,Autauga County,00048,Prattville High School,010024000048,0,0,0,0,010024000048,High,1973.0,113.0,111.0,2.0,98.68,4830140.27,503.0,0.0,-18.0,1.0,15.0,1.0,359.0,564.0
AL,ALABAMA,0100270,Baldwin County,00024,Robertsdale High School,010027000024,0,0,0,0,010027000024,High,1282.0,74.0,74.0,0.0,74.0,4158636.0,446.0,1.0,0.0,1.0,10.0,1.0,151.0,121.0
AL,ALABAMA,0100270,Baldwin County,00100,Fairhope High School,010027000100,0,0,0,0,010027000100,High,1589.0,96.0,96.0,0.0,91.56,4920692.0,719.0,1.0,48.0,1.0,19.0,1.0,386.0,379.0
AL,ALABAMA,0100270,Baldwin County,00641,Gulf Shores High School,010027000641,0,0,0,0,010027000641,High,812.0,50.0,50.0,0.0,50.0,2765700.0,351.0,0.0,-18.0,1.0,13.0,1.0,202.0,119.0
AL,ALABAMA,0100270,Baldwin County,01759,Daphne High School,010027001759,0,0,0,0,010027001759,High,1260.0,70.0,70.0,0.0,70.0,3961601.0,547.0,1.0,42.0,1.0,15.0,1.0,496.0,332.0
AL,ALABAMA,0100270,Baldwin County,01784,Foley High School,010027001784,0,0,0,0,010027001784,High,1714.0,98.0,98.0,0.0,98.0,5288816.0,659.0,0.0,-18.0,1.0,13.0,1.0,234.0,234.0
AL,ALABAMA,0100270,Baldwin County,01810,Baldwin County High School,010027001810,0,0,0,0,010027001810,High,1065.0,65.0,65.0,0.0,63.9,3305134.0,357.0,0.0,-18.0,1.0,9.0,1.0,251.0,216.0
AL,ALABAMA,0100270,Baldwin County,02073,Spanish Fort High School,010027002073,0,0,0,0,010027002073,High,1073.0,64.0,64.0,0.0,61.98,3328339.0,534.0,1.0,0.0,1.0,8.0,1.0,73.0,91.0
AL,ALABAMA,0100270,Baldwin County,02443,Baldwin County Virtual School,010027002443,0,0,0,0,010027002443,High,316.0,8.0,8.0,0.0,8.0,468883.0,113.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100330,Bessemer City,00087,Bessemer City High School,010033000087,0,0,0,0,010033000087,High,949.0,42.0,42.0,0.0,42.0,2399345.01,208.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100360,Bibb County,00092,Bibb County High School,010036000092,0,0,0,0,010036000092,High,519.0,32.0,32.0,0.0,27.69,1462128.7,128.0,0.0,-18.0,1.0,6.0,1.0,27.0,28.0
AL,ALABAMA,0100360,Bibb County,00099,West Blocton High School,010036000099,0,0,0,0,010036000099,High,413.0,26.0,26.0,0.0,25.48,1340264.28,108.0,0.0,-18.0,1.0,3.0,1.0,29.0,29.0
AL,ALABAMA,0100390,Birmingham City,00141,Huffman High SchoolMagnet,010039000141,0,1,0,0,010039000141,High,1359.0,65.0,64.0,1.0,64.54,3535638.94,338.0,0.0,-18.0,1.0,12.0,1.0,81.0,69.0
AL,ALABAMA,0100390,Birmingham City,00164,JacksonOlin High School,010039000164,0,0,0,0,010039000164,High,835.0,49.0,46.0,3.0,47.08,2548077.49,144.0,0.0,-18.0,1.0,7.0,1.0,83.0,109.0
AL,ALABAMA,0100390,Birmingham City,00176,Ramsay High School,010039000176,0,0,0,0,010039000176,High,786.0,45.08,43.08,2.0,45.08,2487311.26,173.0,1.0,11.0,1.0,10.0,1.0,135.0,159.0
AL,ALABAMA,0100390,Birmingham City,00192,Wenonah High School,010039000192,0,0,0,0,010039000192,High,725.0,42.0,42.0,0.0,40.97,2217842.69,97.0,0.0,-18.0,1.0,6.0,1.0,69.0,50.0
AL,ALABAMA,0100420,Blount County,00206,Cleveland High School,010042000206,0,0,0,0,010042000206,High,384.0,27.36,26.36,1.0,20.0,995458.94,94.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100420,Blount County,00208,Hayden High School,010042000208,0,0,0,0,010042000208,High,862.0,55.28,55.28,0.0,43.87,2271610.03,154.0,0.0,-18.0,1.0,2.0,1.0,22.0,4.0
AL,ALABAMA,0100420,Blount County,00209,JB Pennington High School,010042000209,0,0,0,0,010042000209,High,537.0,32.38,31.38,1.0,27.05,1354099.55,115.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100420,Blount County,00210,Locust Fork High School,010042000210,0,0,0,0,010042000210,High,505.0,29.93,29.93,0.0,25.06,1198640.47,83.0,0.0,-18.0,1.0,5.0,1.0,68.0,76.0
AL,ALABAMA,0100420,Blount County,00213,Susan Moore High School,010042000213,0,0,0,0,010042000213,High,554.0,34.59,32.59,2.0,28.88,1430740.55,80.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100450,Brewton City,00216,TR Miller High School,010045000216,0,0,0,0,010045000216,High,343.0,25.0,25.0,0.0,21.25,1107365.55,108.0,0.0,-18.0,1.0,4.0,1.0,71.0,71.0
AL,ALABAMA,0100480,Bullock County,00218,Bullock County High School,010048000218,0,0,0,0,010048000218,High,398.0,29.0,24.0,5.0,22.85,1445690.0,73.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100540,Calhoun County,00232,Alexandria High School,010054000232,0,0,0,0,010054000232,High,592.0,40.07,40.07,0.0,40.07,2135654.0,152.0,0.0,-18.0,1.0,2.0,1.0,28.0,30.0
AL,ALABAMA,0100540,Calhoun County,00240,Ohatchee High School,010054000240,0,0,0,0,010054000240,High,447.0,29.93,29.93,0.0,28.93,1498072.0,73.0,0.0,-18.0,1.0,4.0,1.0,24.0,49.0
