SCHOOL_YEAR_x,ST_x,NAME,NCESSCH,LEVEL,SCH_TYPE_TEXT_x,SCH_TYPE_x,TITLEI_STATUS,TITLEI_STATUS_TEXT,TEACHERS,FARMS_COUNT,Special_ed_schl_new,Magnet_schl_new,Charter_Schl_new,Alternate_schl_new,Total_enroll_students,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,FTE_teachers_count,SalaryforTeachers,Total_SAT_ACT_students,SCH_IBENR_IND_new,Total_IB_students,SCH_APENR_IND_new,SCH_APCOURSES,SCH_APOTHENR_IND_new,Total_AP_other_students,Total_students_tookAP,Income_Poverty_ratio,IPR_SE,ALL_RLA00NUMVALID_1718,ALL_RLA00PCTPROF_1718_new
2017-2018,AL,Albertville High School,010000500871,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,77.0,832.0,0.0,0.0,0.0,0.0,1449.0,78.17,71.17,7.0,72.88,3780956.34,363.0,0.0,-18.0,1.0,8.0,1.0,179.0,286.0,248.0,80.0,337.0,32.0
2017-2018,AL,Asbury High School,010000600872,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,28.64,450.0,0.0,0.0,0.0,0.0,547.0,32.0,31.0,1.0,32.0,1551823.89,61.0,0.0,-18.0,1.0,3.0,1.0,33.0,46.0,241.0,127.0,327.0,30.0
2017-2018,AL,Douglas High School,010000600878,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,30.87,429.0,0.0,0.0,0.0,0.0,591.0,36.0,36.0,0.0,36.0,1654974.93,142.0,0.0,-18.0,1.0,6.0,1.0,185.0,244.0,213.0,51.0,130.0,42.0
2017-2018,AL,Kate D Smith DAR High School,010000600883,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,24.04,211.0,0.0,0.0,0.0,0.0,452.0,29.0,29.0,0.0,29.0,1256524.51,103.0,0.0,-18.0,1.0,6.0,1.0,116.0,205.0,254.0,48.0,106.0,57.0
2017-2018,AL,Brindlee Mountain High School,010000601585,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,31.26,415.0,0.0,0.0,0.0,0.0,632.0,37.0,36.0,1.0,37.0,1540288.05,76.0,0.0,-18.0,1.0,5.0,1.0,76.0,102.0,329.0,150.0,338.0,31.0
2017-2018,AL,Hoover High School,010000700251,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,202.28,568.0,0.0,0.0,0.0,0.0,2886.0,209.5,205.5,4.0,205.35,11382699.13,1189.0,1.0,101.0,1.0,15.0,1.0,453.0,516.0,629.0,88.0,720.0,66.0
2017-2018,AL,Spain Park High School,010000701456,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,112.75,235.0,0.0,0.0,0.0,0.0,1669.0,111.78,110.78,1.0,111.13,6611878.23,647.0,0.0,-18.0,1.0,16.0,1.0,467.0,410.0,490.0,96.0,386.0,73.0
2017-2018,AL,Bob Jones High School,010000800831,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,94.5,330.0,0.0,0.0,0.0,0.0,1779.0,97.02,97.02,0.0,96.52,5452615.27,526.0,0.0,-18.0,1.0,16.0,1.0,212.0,276.0,464.0,95.0,440.0,69.0
2017-2018,AL,James Clemens High School,010000802198,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,100.83,304.0,0.0,0.0,0.0,0.0,1920.0,110.83,110.83,0.0,108.36,5871553.94,486.0,0.0,-18.0,1.0,19.0,1.0,398.0,425.0,498.0,86.0,459.0,73.0
2017-2018,AL,Leeds High School,010001102096,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,19.0,213.0,0.0,0.0,0.0,0.0,488.0,32.0,32.0,0.0,29.6,1602720.5,97.0,0.0,-18.0,1.0,7.0,1.0,61.0,105.0,237.0,60.0,111.0,47.0
2017-2018,AL,Boaz High School,010001200874,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,38.35,390.0,0.0,0.0,0.0,0.0,621.0,37.74,37.74,0.0,37.74,1904017.14,251.0,0.0,-18.0,1.0,8.0,1.0,119.0,117.0,210.0,88.0,172.0,37.0
2017-2018,AL,HewittTrussville High School,010001301682,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,84.97,123.0,0.0,0.0,0.0,0.0,1482.0,91.76,91.76,0.0,91.76,5237061.19,357.0,0.0,-18.0,1.0,19.0,1.0,303.0,381.0,528.0,99.0,358.0,70.0
2017-2018,AL,Benjamin Russell High School,010003000003,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,50.87,399.0,0.0,0.0,0.0,0.0,862.0,55.0,52.0,3.0,49.5,2716048.54,227.0,0.0,-18.0,1.0,6.0,1.0,114.0,124.0,116.0,57.0,194.0,52.0
2017-2018,AL,Andalusia High School,010006000007,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,29.83,236.0,0.0,0.0,0.0,0.0,490.0,33.0,32.0,1.0,31.63,1294715.32,126.0,0.0,-18.0,1.0,3.0,1.0,5.0,2.0,221.0,67.0,122.0,47.0
2017-2018,AL,Anniston High School,010009000011,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,32.0,404.0,0.0,0.0,0.0,0.0,472.0,28.0,24.0,4.0,28.0,1635906.0,107.0,0.0,-18.0,1.0,5.0,1.0,71.0,69.0,135.0,38.0,87.0,22.0
2017-2018,AL,Arab High School,010010000028,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,49.33,204.0,0.0,0.0,0.0,0.0,760.0,52.36,51.36,1.0,52.36,2824211.13,173.0,0.0,-18.0,1.0,13.0,1.0,146.0,168.0,248.0,85.0,173.0,72.0
2017-2018,AL,Athens High School,010012001472,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,60.5,441.0,0.0,0.0,0.0,0.0,992.0,54.0,54.0,0.0,54.0,3018187.75,417.0,0.0,-18.0,1.0,9.0,1.0,111.0,154.0,335.0,164.0,240.0,52.0
